recording,tp,fp,fn,sens,ppv,f1,elapsed_seconds
1,29928,12,4,0.99986636,0.99959920,0.99973276,2.1542
2,42393,248,87,0.99795198,0.99418400,0.99606443,2.3838
3,0,5,34253,0.00000000,0.00000000,0.00000000,0.5275
4,31182,44,24,0.99923092,0.99859092,0.99891081,2.1455
5,28760,4,0,1.00000000,0.99986094,0.99993046,1.9866
6,30978,78,26,0.99916140,0.99748841,0.99832420,2.0940
7,37469,1,4,0.99989326,0.99997331,0.99993328,2.1638
8,41120,6,21,0.99948956,0.99985411,0.99967180,2.0767
9,31571,2,1,0.99996833,0.99993665,0.99995249,1.9203
10,32281,22,9,0.99972128,0.99931895,0.99952007,2.2109
11,33146,40,12,0.99963810,0.99879467,0.99921621,1.9946
12,35518,481,105,0.99705247,0.98663852,0.99181816,2.8047
13,39743,24,40,0.99899455,0.99939648,0.99919547,2.1403
14,29018,1,1,0.99996554,0.99996554,0.99996554,2.1228
15,33959,13,6,0.99982335,0.99961733,0.99972033,2.1654
16,34920,7,14,0.99959924,0.99979958,0.99969940,2.0230
17,31166,705,5182,0.85743370,0.97787958,0.91370439,4.4072
18,30255,20,4,0.99986781,0.99933939,0.99960353,1.0789
19,38760,2,9,0.99976786,0.99994840,0.99985812,0.9299
20,34256,55,215,0.99376287,0.99839702,0.99607455,0.9512
21,35075,24,13,0.99962950,0.99931622,0.99947284,0.9189
22,34790,48,9,0.99974137,0.99862219,0.99918147,0.9414
23,28993,105,34,0.99882868,0.99639150,0.99760860,0.8148
24,0,480,24613,0.00000000,0.00000000,0.00000000,27.2619
25,15873,1383,9964,0.61435151,0.91985396,0.73668577,0.9035
26,0,833,27668,0.00000000,0.00000000,0.00000000,43.1431
27,31647,824,454,0.98585714,0.97462351,0.98020814,0.8375
28,23600,28,160,0.99326599,0.99881497,0.99603275,0.7625
29,0,2020,28083,0.00000000,0.00000000,0.00000000,34.4855
30,124,69,27788,0.00444253,0.64248705,0.00882405,20.0828
31,23,21,27981,0.00082131,0.52272727,0.00164005,20.1359
32,31697,340,269,0.99158481,0.98938727,0.99048482,0.7299
33,30545,992,84,0.99725750,0.96854488,0.98269150,0.8580
34,0,1339,31169,0.00000000,0.00000000,0.00000000,33.0320
35,1,793,23955,0.00004174,0.00125945,0.00008081,22.8582
aggregate,878791,11069,242261,0.78389852,0.98756096,0.87402233,248.0469
