recording,length_samples,duration_hours,expert_qrs_count,mean_heart_rate_bpm,ecg_min_uV,ecg_max_uV,ecg_mean_uV
1,2957000,8.213889,29932,60.734528,-1655.000000,2440.000000,0.563928
2,3182000,8.838889,42480,80.100566,-2860.000000,2900.000000,0.456603
3,3135000,8.708333,34253,65.555981,-10235.000000,10235.000000,1.021882
4,2980000,8.277778,31206,62.830872,-7635.000000,7130.000000,1.183295
5,2719500,7.554167,28760,63.452841,-7095.000000,10235.000000,-28.221375
6,3058000,8.494444,31004,60.831916,-7160.000000,1805.000000,0.622489
7,3060500,8.501389,37473,73.464467,-4615.000000,9400.000000,-14.137183
8,3002500,8.340278,41141,82.213489,-7975.000000,10235.000000,-10.748546
9,2988000,8.300000,31572,63.397590,-1610.000000,3170.000000,0.603640
10,3101500,8.615278,32290,62.466548,-10240.000000,6905.000000,-16.669521
11,2808000,7.800000,33158,70.850427,-3940.000000,4900.000000,0.995844
12,3462000,9.616667,35623,61.738302,-2785.000000,3925.000000,-0.714315
13,2965500,8.237500,39783,80.491654,-8500.000000,9210.000000,-9.375004
14,3135000,8.708333,29019,55.538756,-1675.000000,2660.000000,0.754724
15,3056000,8.488889,33965,66.685209,-10240.000000,10235.000000,-16.340288
16,2888000,8.022222,34934,72.577562,-10240.000000,10235.000000,-13.822394
17,2904500,8.068056,36348,75.086245,-10240.000000,10235.000000,41.104631
18,2957000,8.213889,30259,61.398039,-2550.000000,3210.000000,0.796774
19,3012000,8.366667,38769,77.229084,-10240.000000,10235.000000,-4.919261
20,3060000,8.500000,34471,67.590196,-9585.000000,10235.000000,-71.741953
21,2917000,8.102778,35088,72.172780,-4060.000000,8345.000000,1.206587
22,3170500,8.806944,34799,65.855228,-10240.000000,10235.000000,-101.148767
23,2643000,7.341667,29027,65.895573,-5305.000000,8230.000000,-13.861914
24,2573000,7.147222,24613,57.395258,-10240.000000,10235.000000,0.640878
25,2593500,7.204167,25837,59.773279,-10240.000000,10235.000000,-5.013925
26,2899000,8.052778,27668,57.263884,-10235.000000,10235.000000,0.965768
27,3007000,8.352778,32101,64.052544,-10240.000000,10235.000000,-0.001134
28,2720000,7.555556,23760,52.411765,-3125.000000,3675.000000,1.242710
29,2887000,8.019444,28083,58.364392,-10235.000000,10235.000000,0.246145
30,2793000,7.758333,27912,59.961332,-10170.000000,9865.000000,1.361042
31,2804000,7.788889,28004,59.922967,-10170.000000,10120.000000,1.449838
32,2569000,7.136111,31966,74.657844,-1220.000000,4230.000000,0.995779
33,3084000,8.566667,30629,59.589494,-3825.000000,8280.000000,0.932926
34,2805000,7.791667,31169,66.671658,-10240.000000,10235.000000,0.435918
35,2585000,7.180556,23956,55.603868,-10240.000000,10235.000000,0.129391
